"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","PubMed ID","Document Type","Publication Stage","Open Access","Source"
"Fan, J.; Guo, X.; Cao, S.; Li, R.; Zhan, S.","Fan, Jiaxin (57193207866); Guo, Xingzhi (56688859900); Cao, Shuai (57220641104); Li, Rui (56456745000); Zhan, Shuqin (56519226400)","57193207866; 56688859900; 57220641104; 56456745000; 56519226400","Development of advanced lung cancer inflammation index-based machine learning models for predicting stroke and mortality: A comparative and interpretable study","2026","Computer Methods and Programs in Biomedicine","0","10.1016/j.cmpb.2025.109201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024312609&doi=10.1016%2Fj.cmpb.2025.109201&partnerID=40&md5=49ad25803d2635564c539c174d9cd1ea","Background The Advanced Lung Cancer Inflammation Index (ALI) is a novel composite index that enables a more holistic evaluation of inflammation and nutritional status than established single or commonly used indices. However, ALI has not been extensively studied in patients with stroke. In this study, we aimed to investigate: 1) the association between ALI and stroke risk and 2) the association between ALI and all-cause mortality among patients with stroke, as well as 3) develop and interpret machine learning (ML) models to predict stroke and prognosis. Methods Using data from the National Health and Nutrition Examination Survey (NHANES) 1999–2018, logistic regression and Cox regression assessed associations of ALI with stroke and mortality. Non-linear relationships were analysed using restricted cubic spline and subgroup stratification. Logistic regression (LR), extreme gradient boosting (XGBoost), random forest (RF), K-Nearest Neighbor (KNN), supported vector machine (SVM), and decision tree (DT) were developed for stroke and mortality prediction and evaluated using the area under the receiver operating characteristic curve (AUCROC), and metrics such as accuracy. Shapley additive explanations (SHAP) and Gini importance enhanced the dual-interpretability of the model. Results Among the 46,451 participants, higher ALI was associated with a lower stroke risk, whereas mortality decreased with increasing ALI before stabilising at an inflection point (ALI = 40.91, P <inf>threshold</inf> < 0.001). Age stratification significantly modified the association between ALI and mortality. The RF model marginally outperformed the other models in terms of stroke identification (AUCROC: 0.9657, accuracy: 95.63 %) and mortality prediction (AUCROC: 0.7771, accuracy: 70.65 %). The SHAP and Gini importance analyses highlighted cardiovascular diseases as key factors for stroke prediction and age for mortality, with ALI being less influential. Conclusions Leveraging the nationally representative NHANES database, this exploratory analysis revealed that ALI presented a reverse dose-response association with the stroke risk and an “L-shaped” relationship with all-cause mortality among patients with stroke. Dual-interpretable RF models based on the ALI showed comparably promising potential among the six ML models for stroke identification and prognosis prediction. © © 2025. Published by Elsevier B.V.","","Article","Final","","Scopus"
"Andishgar, A.; Bazmi, S.; Bagheri Lankarani, K.B.; Taghavi, S.A.; Imanieh, M.H.; Sivandzadeh, G.; Saeian, S.; Dadashpour, N.; Shamsaeefar, A.; Ravankhah, M.; Deylami, H.N.; Tabrizi, R.; Imanieh, M.H.","Andishgar, Aref (57903298500); Bazmi, Sina (58755846700); Bagheri Lankarani, Kamran Bagheri (57194575341); Taghavi, Seyed Ali Reza (24480161000); Imanieh, Mohammad Hadi (6602330199); Sivandzadeh, Gholam Reza (54380981400); Saeian, Samira (57192706424); Dadashpour, Nazanin (57211921989); Shamsaeefar, Alireza (24781478800); Ravankhah, Mahdi (58913826300); Deylami, Hamed Nikoupour (59564496600); Tabrizi, Reza (56940377000); Imanieh, Mohammad Hossein (56351505200)","57903298500; 58755846700; 57194575341; 24480161000; 6602330199; 54380981400; 57192706424; 57211921989; 24781478800; 58913826300; 59564496600; 56940377000; 56351505200","Comparison of time-to-event machine learning models in predicting biliary complication and mortality rate in liver transplant patients","2025","Scientific Reports","1","10.1038/s41598-025-89570-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218228047&doi=10.1038%2Fs41598-025-89570-4&partnerID=40&md5=4f284fd8de91be8151685ee5a1c1c185","Post-Liver transplantation (LT) survival rates stagnate, with biliary complications (BC) as a major cause of death. We analyzed longitudinal data with a median 19-month follow-up. BC was diagnosed with ultrasounds and MRCP. Missing data was imputed using mean and median. Data preprocessing involved feature scaling and one-hot encoding. Survival analysis used filter (Cox-P, Cox-c) and embedded (RSF, LASSO) feature selection methods. Seven survival machine learning algorithms were used: LASSO, Ridge, RSF, E-NET, GBS, C-GBS, and FS-SVM. Model development employed 5-fold cross-validation, random oversampling, and hyperparameter tuning. Random oversampling addressed data imbalance. Optimal hyperparameters were determined based on average C-index. Features importance was assessed using standardized regression coefficients and permutation importance for top models. Stability was evaluated using 5-fold cross-validation standard deviation. Finally, 1799 observations with 40 outcome predictors were included. RSF with Ridge achieved the highest performance (C-index: 0.699) for BC prediction, while RSF with RSF had the highest performance (C-index: 0.784) for mortality prediction. Top BC predictors were LT graft types, IBD in recipients, recipient’s BMI, recipient’s history of PVT, and previous LT history. For mortality, they were post-transplant AST, creatinine, recipient’s age, post-transplant ALT, and tacrolimus consumption. We identified BC and mortality risk factors, improving decision-making and outcomes. © The Author(s) 2025.","39922959","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus"
"Wu, Z.; Hilowle, A.M.; Zhou, Y.; Zhao, C.; Yang, S.","Wu, Zhen (35216895600); Hilowle, Abdullahi Mohamud (59558980300); Zhou, Ying (59556674200); Zhao, Changlin (57199830056); Yang, Shuo (58628495900)","35216895600; 59558980300; 59556674200; 57199830056; 58628495900","Delving into biomarkers and predictive modeling for CVD mortality: a 20-year cohort study","2025","Scientific Reports","5","10.1038/s41598-025-88790-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217868288&doi=10.1038%2Fs41598-025-88790-y&partnerID=40&md5=ded1b61c62cd61285abe3ab028bb3526","Accurate prediction of cardiovascular disease (CVD) mortality is essential for effective treatment decisions and risk management. Current models often lack comprehensive integration of key biomarkers, limiting their predictive power. This study aims to develop a predictive model for CVD-related mortality using a machine learning-based feature selection algorithm and assess its performance compared to existing models. We analyzed data from a cohort of 4,882 adults recruited between 1999 and 2004, followed for up to 20 years. After applying the Boruta algorithm for feature selection, key biomarkers including NT-proBNP, cardiac troponins, and homocysteine were identified as significant predictors of CVD mortality. Predictive models were built using these biomarkers alongside demographic and clinical variables. Model performance was evaluated using the concordance index (C-index), sensitivity, specificity, and accuracy, with internal validation conducted through bootstrap sampling. Additionally, decision curve analysis (DCA) was performed to assess clinical benefit. The combined model, incorporating both biomarkers and demographic variables, demonstrated superior predictive performance with a C-index of 0.9205 (95% CI: 0.9129–0.9319), outperforming models with demographic variables alone (C-index: 0.9030 (95% CI: 0.8938–0.9147)) or biomarkers alone (C-index: 0.8659 (95% CI: 0.8519–0.8826)). Cox regression analysis further identified key predictors of CVD mortality, including elevated AST/ALT, TyG, BUN, and systolic blood pressure, with protective factors such as higher chloride and iron levels. Nomogram construction and DCA confirmed that the combined model provided substantial net benefit across various time points. The integration of cardiac biomarkers, lipid profiles, and inflammatory markers significantly improves the accuracy of predictive models for CVD-related mortality. This novel approach offers enhanced prognostication, with potential for further optimization through the inclusion of additional clinical and lifestyle data. © The Author(s) 2025.","39900681","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus"
"Gu, L.; Chen, S.; Yang, Z.; Liu, Y.; Zhong, Z.; Chen, Y.","Gu, Linting (58728309900); Chen, Sheng (56995387200); Yang, Zhenkun (59759227300); Liu, Yang (58487067000); Zhong, Ziyi (58945672000); Chen, Yang (58814027000)","58728309900; 56995387200; 59759227300; 58487067000; 58945672000; 58814027000","Joint impact of stress hyperglycaemic ratio and glycaemic variability in patients with ischaemic stroke and machine learning for mortality prediction","2025","BMC Neurology","0","10.1186/s12883-025-04510-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022908970&doi=10.1186%2Fs12883-025-04510-z&partnerID=40&md5=5b38337570c35356b61a209f80d31cde","Background: The global burden of ischaemic stroke (IS) is high, which is potentially relevant to stress hyperglycemia ratio (SHR) and glycaemic variability (GV). This study aims to evaluate the combined effect of the SHR and GV with predict short-term, medium-term and long-term mortality outcomes in the intensive care unit (ICU). Methods: This retrospective study utilised data from the MIMIC-IV database, including adult ICU patients diagnosed with ischaemic stroke. SHR and GV were calculated and categorised into tertiles, with combined effects grouped into four categories. Study outcomes included 30-day, 90-day, and 360-day mortality outcomes. Kaplan-Meier curves, restricted cubic splines and Cox proportional hazards models were used to assess the SHR and GV with mortality outcomes. Then, we further assessed the associations with subgroup analyses by diabetes, age, sex, and body mass index. Predictive performance was evaluated using receiver operating characteristic curves and area under the curve (AUC) comparisons. Results: In 749 patients with IS (age 72.9 [61.1–83.0] years; 47.3% male), and 30-day, 90-day, and 360-day ICU mortality rates of 23.2%, 29.6%, and 35.4%, respectively. Patients with both high SHR and high GV (G4 vs. G1) had the highest mortality risk in the overall population, with HRs of 2.43 (95% CI: 1.42–4.14) for 30-day mortality, 2.18 (95% CI: 1.36–3.06) for 90-day mortality, and 1.77 (95% CI: 1.14–2.74) for 360-day mortality. The combined effect of SHR and GV demonstrated superior predictive performance (AUC: 0.643 for 30-day, 0.652 for 90-day, and 0.640 for 360-day mortality) compared to SHR or GV alone. These findings highlight the prognostic utility of combining SHR and GV for mortality prediction in critically ill patients with IS. Conclusion: The combination of SHR and GV is promising to facilitate early identifying IS critically ill patients at high-risk of mortality. © The Author(s) 2025.","41291553","Article","Final","All Open Access; Gold Open Access","Scopus"
"Jin, H.; Xu, X.; Zhu, B.; Zhang, J.","Jin, Huijun (59481975200); Xu, Xuefeng (60101235700); Zhu, Bo (60168595000); Zhang, Jinglan (57211633543)","59481975200; 60101235700; 60168595000; 57211633543","Stress hyperglycemia ratio modulates the impact of organ dysfunction on mortality risk in critically ill patients with atrial fibrillation: insights from the MIMIC-IV database","2025","Cardiovascular Diabetology","0","10.1186/s12933-025-02969-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020993416&doi=10.1186%2Fs12933-025-02969-1&partnerID=40&md5=46cfc214e35d40066e0f75e571e84eb3","Background: Atrial fibrillation (AF) is a major cardiovascular issue in critically ill patients, linked to elevated mortality rates. The Stress Hyperglycemia Ratio (SHR), a novel metric of glucose control, has shown promise in predicting adverse outcomes in cardiovascular diseases. However, its impact on the relationship between organ dysfunction and mortality in AF remains unclear. This study aims to explore SHR’s role in modifying this association to improve risk prediction in critically ill AF patients. Methods: A retrospective cohort study was performed on MIMIC-IV 3.1 patients with critical illness and AF. The primary endpoints were in-hospital, 30-day, and 1-year mortality. Patients were stratified by SHR quartiles and categorized into four groups based on combined SHR and SOFA scores. Kaplan-Meier survival analysis and multivariate Cox regression assessed the association with mortality, and restriction cubic splines (RCS) were used to examine non-linear relationships. Mediation analysis using the Bootstrap method quantified the role of serum bicarbonate. A nomogram was developed with multivariable logistic regression, incorporating SHR, SOFA, and significant covariates from backward selection. The SHapley Additive exPlanations(SHAP) analysis provided insights into predictor contributions. Results: Of the 15,358 patients included in the cohort, the median age was 66 years (IQR: 55–76), with 56.8% being male. The SHR-SOFA combination significantly stratified patients into four distinct risk groups (Q1-Q4), with the high SHR and high SOFA group (Q4) showing the poorest prognosis at all time points (log-rank P < 0.001). Multivariate Cox regression confirmed that Q4 had the highest mortality risk across all time points (in-hospital HR: 5.32, 95% CI: 4.31–6.57; 30-day HR: 4.27, 95% CI: 3.62–5.04; 1-year HR: 3.18, 95% CI: 2.82–3.59). RCS analysis indicated a nonlinear correlation between SHR and mortality, with a threshold effect at SHR = 1.0 in low SOFA patients. In contrast, high SOFA patients showed a J-shaped curve, with an ideal SHR of 1.2. The predictive nomogram, validated through backward stepwise regression, included SHR, SOFA score, age, mean arterial pressure (MBP), white blood cell count (WBC), bicarbonate, hemoglobin, sodium, and total calcium as key predictors. SHAP analysis highlighted SHR and SOFA as the most influential predictors, with age also playing a crucial role. Mediation analysis indicated that serum bicarbonate mediated 22.7% of SHR’s effect on in-hospital mortality, diminishing over time. Conclusions: This study reveals a notable relationship among SHR and SOFA scores in forecasting mortality among critically sick patients with atrial fibrillation. The developed nomogram integrating SHR, SOFA, and other covariates offers a novel tool for risk stratification. SHAP analysis confirms SHR and SOFA as key predictors, highlighting their clinical utility in mortality assessment. © The Author(s) 2025.","41194138","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus"
"Zou, D.; Yin, J.; Liang, Y.; Li, Z.; Liu, J.; Ou, W.; Liu, B.","Zou, Datao (60163475000); Yin, Jiaxin (60163596200); Liang, Yuqing (60163475100); Li, Zhenyi (60163972200); Liu, Junjie (59362833300); Ou, Wenchao (57197255427); Liu, Benrong (13406041700)","60163475000; 60163596200; 60163475100; 60163972200; 59362833300; 57197255427; 13406041700","Association between stress hyperglycemia ratio and all-cause mortality in patients with acute kidney injury: a retrospective analysis of the MIMIC-IV database using machine learning","2025","BMC Nephrology","0","10.1186/s12882-025-04523-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020283461&doi=10.1186%2Fs12882-025-04523-3&partnerID=40&md5=0a77fdfba35b787b274afea4197806a9","Background: The stress hyperglycemia ratio (SHR) reflects relative hyperglycemia levels. Prior studies indicate that SHR is related to the prognosis of certain diseases. This study investigated the predictive accuracy of SHR for in-hospital and intensive care unit (ICU) mortality in acute kidney injury (AKI) patients. Methods: We analyzed 4,418 AKI patients from the Medical Information Mart for Intensive Care (MIMIC-IV) database. SHR was calculated as admission blood glucose (mg/dl) divided by (28.7 × HbA1c(%) − 46.7). Patients were stratified into four groups based on SHR levels. Restricted cubic splines (RCS) and Cox proportional hazards models were employed to assess the association between SHR and mortality, and Kaplan-Meier survival analysis was conducted to compare mortality rates stratified by SHR groups. Subgroup analyses evaluated the consistency of these associations across clinically relevant populations. Machine learning algorithms (Boruta feature selection, logistic regression, random forest) were employed to build predictive models. Results: Among 4,418 patients (36.03% female), in-hospital and ICU mortality rates were 6.88% and 4.48%, respectively. A U-shaped relationship was observed between SHR and mortality (nonlinear p = 0.015 for in-hospital, p = 0.048 for ICU mortality). Kaplan-Meier analysis revealed significant survival differences across SHR groups (log-rank p < 0.01). Cox regression showed that each unit increase in SHR was associated with 23% higher in-hospital mortality (HR = 1.23, 95% CI: 1.09–1.40) and 47% higher ICU mortality (HR = 1.47, 95% CI: 1.25–1.74). Machine learning models achieved AUCs of 0.76–0.77 for mortality prediction. Conclusions: In critically ill AKI patients, higher SHR is associated with increased mortality after adjustment for key covariates. However, its modest standalone discriminative capacity indicates that SHR is best combined with other clinical variables rather than used alone. © The Author(s) 2025.","41152738","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus"
"Ge, Y.; Wang, G.; Huang, Y.; Zhang, Y.","Ge, Yuanshuo (59795523700); Wang, Guangdong (57746713800); Huang, Yun (59916607500); Zhang, Yaxin (59216128500)","59795523700; 57746713800; 59916607500; 59216128500","Association between hemoglobin glycation index and mortality in surgical ICU patients","2025","Scientific Reports","0","10.1038/s41598-025-21524-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020088512&doi=10.1038%2Fs41598-025-21524-2&partnerID=40&md5=5b7a9f4421539c24b3b555f2a3799ef4","The hemoglobin glycation index (HGI) is a promising marker for assessing glycemic control and outcomes in critically ill patients, but its prognostic value in Trauma/Surgical Intensive Care Units (TSICU/SICU) remains unclear. This study investigates the predictive value of HGI in relation to mortality. This retrospective analysis used data from the Medical Information Mart for Intensive Care IV (MIMIC-IV) database, a publicly available critical care database, focusing on TSICU/SICU patients. HGI was calculated as the difference between observed and predicted HbA1c levels. Associations between HGI quartiles and 28-day and 360-day mortality were assessed using Kaplan–Meier survival analysis, multivariate Cox regression, and restricted cubic spline (RCS) models. A stacked ensemble machine learning model validated HGI’s predictive power, and mediation analysis evaluated sodium as a mediator. Kaplan–Meier analysis showed significant survival differences across HGI quartiles (log-rank p < 0.001), with the lowest quartile demonstrating the worst outcomes. Cox regression revealed that higher HGI was independently associated with lower 28-day and 360-day mortality (HR 0.76, 95% CI 0.72–0.81, p < 0.001). ROC analysis confirmed HGI outperformed HbA1c and glucose in predictive performance. The stacked ensemble model achieved an AUC of 0.85, highlighting HGI’s predictive strength. Mediation analysis found sodium mediated only 3.1% of HGI’s total effect on 28-day mortality, suggesting direct mechanisms. HGI is a robust predictor of short- and long-term mortality in TSICU/SICU patients, surpassing traditional glycemic markers. Incorporating HGI into risk stratification models could improve patient management, and further studies are needed to validate its clinical utility and explore underlying mechanisms. © The Author(s) 2025.","41152344","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus"
"He, A.; Jiang, W.; Fu, J.; Xu, L.; You, C.; Li, S.; Yu, J.; Zheng, R.","He, Aifeng (58704089900); Jiang, Wei (57707577700); Fu, Jing (59749955100); Xu, Leiming (59187192500); You, Congliang (60068677600); Li, Suhui (60068849000); Yu, Jiangquan (24081957200); Zheng, Ruiqiang (8836325400)","58704089900; 57707577700; 59749955100; 59187192500; 60068677600; 60068849000; 24081957200; 8836325400","Dynamic HGI trajectories and their impact on survival in patients with sepsis: a machine learning prognostic model","2025","Inflammation Research","0","10.1007/s00011-025-02113-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019114406&doi=10.1007%2Fs00011-025-02113-5&partnerID=40&md5=a6d765ebafead82dca77df53d3d58b09","Background: Previous studies have indicated a correlation between the glycosylated hemoglobin index (HGI) and the prognosis of patients with sepsis. However, the impact of its dynamic fluctuations on patient outcomes remains insufficiently explored. This study seeks to investigate the relationship between HGI trajectory changes over time and the prognosis of patients with sepsis, and developing an optimal predictive model for 28-day and 90-day mortality risk using machine learning techniques. Methods: Data from the MIMIC-IV 3.0 database were employed to construct a linear regression model utilizing glycosylated hemoglobin (HbA1c) and fasting blood glucose (FBG) measured at six distinct time points to calculate HGI. Trajectory analysis revealed three distinct HGI change patterns: rising (RS), stable (ST), and descending (DS). Based on these groupings, Kaplan-Meier survival curves, Cox regression models, and mediation analysis were applied. Lasso regression was utilized for feature selection, and four machine learning models—Extreme Gradient Boosting (XGBoost), Support Vector Machine (SVM), Logistic Regression, and Random Forest (RF)—were developed and evaluated through ROC curves, Decision Curve Analysis (DCA), and calibration curves. SHapley Additive exPlanations (SHAP) values were incorporated for interpretability, and nomograms for 28-day and 90-day mortality were generated. Results: A total of 2,616 patients were included in the analysis, with 407 patients (15.56%) dying within 28 days. multivariable Cox regression analysis, using the ST group as a reference, revealed that patients in the RS group had a significantly higher risk of death at both 28 days and 90 days, whereas those in the DS group demonstrated a markedly reduced risk. These findings were consistent across all models. Among the models evaluated, the Logistic Regression model exhibited the highest predictive accuracy, with AUC values for the 28-day mortality prediction in the training and validation sets of 0.743 and 0.732, respectively, and for 90-day mortality of 0.748 and 0.735. The key predictive factors for 28-day mortality included albumin, HGI, renal injury, and the APSIII score, while for 90-day mortality, renal injury, APSIII score, HGI, and albumin were the most influential variables. To enhance the clinical applicability of these models, nomograms for 28-day and 90-day mortality were constructed, achieving AUCs of 0.715 and 0.747, respectively. Calibration curves demonstrated strong concordance between predicted probabilities and observed outcomes. Conclusion: Dynamic alterations in HGI during follow-up were found to be significantly associated with the risk of mortality in patients with sepsis at both 28 days and 90 days. This study presents a machine learning-based model for predicting the mortality risk of patients with sepsis, with potential clinical utility in early risk stratification and improving patient prognosis. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2025.","41107565","Article","Final","","Scopus"
"Liang, C.; Zhang, X.; Zhu, Q.; Guo, J.; Wu, Y.; Wang, Z.; Zhang, X.; Kang, Y.","Liang, Chaofan (58399867000); Zhang, Xinyan (59281424500); Zhu, Qingqing (60146998800); Guo, Jianan (60146998900); Wu, Yongjun (55707408400); Wang, Ziqi (57196248475); Zhang, Xiaoju (56031090200); Kang, Yi (60146999000)","58399867000; 59281424500; 60146998800; 60146998900; 55707408400; 57196248475; 56031090200; 60146999000","Lactate/albumin ratio predicts mortality in critically ill COVID-19 patients: a retrospective machine learning study","2025","Scientific Reports","0","10.1038/s41598-025-20468-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019114231&doi=10.1038%2Fs41598-025-20468-x&partnerID=40&md5=a27eff60e295bc9780037565bd628713","Severe COVID-19 often progresses to critical illness, requiring accurate prognostic biomarkers. Lactate-to-albumin ratio (LAR) has been proposed as a novel indicator to estimate the likelihood of death. Using data from the MIMIC database, this retrospective study assessed lactate-to-albumin ratio (LAR) effectiveness in forecasting outcomes among severely ill COVID-19 patients. Patients were grouped into four quartiles based on their lactate-to-albumin ratio (LAR) values. Analysis using the Kaplan–Meier method revealed a clear difference in survival outcomes among the groups, with individuals with higher levels of LAR indicating a higher observed mortality rate. The RCS analysis identified a distinct nonlinear link between LAR values and overall 28-day death rates (P < 0.001), which retained statistical significance after covariate adjustment (P < 0.001). Multivariate Cox regression verified that LAR independently correlates with 28-day death risk (HR = 1.309, 95% CI: 1.113–1.540). Subgroup analyses consistently indicated increased mortality risks in Q4 across most strata. Both the Boruta and LASSO algorithms identified LAR as a key determinant of 28-day mortality. Among the machine learning models evaluated, the Random Survival Forest (RSF) model demonstrated strong overall predictive performance for 14-day (AUC: 0.948) and 28-day (AUC: 0.887) mortality prediction in both the training and test datasets. The prediction model incorporating LAR achieved outstanding results across multiple algorithmic methods, serving as an effective and simple clinical tool that enables risk stratification and guides therapeutic decision-making through the integration of multidimensional parameters. © The Author(s) 2025.","41107476","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus"
"Li, Y.; Mei, Z.; Sun, G.; Liu, Z.; Li, J.; Ong, M.E.; Fan, H.; Cao, C.","Li, Yue (59788554700); Mei, Zihan (58972930100); Sun, Guolei (58313419300); Liu, Zhengkun (58972717400); Li, Ji (59780983200); Ong, Marcus Eng Hock (57223117548); Fan, Haojun (55454128900); Cao, Chunxia (57201486024)","59788554700; 58972930100; 58313419300; 58972717400; 59780983200; 57223117548; 55454128900; 57201486024","Machine learning for sudden cardiac death prediction among older adults using community-based electronic health records","2025","BMC Public Health","0","10.1186/s12889-025-24724-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019114224&doi=10.1186%2Fs12889-025-24724-7&partnerID=40&md5=3cdf30c838c0e6a5e5c8ac3e6757791b","Background: Machine learning (ML) models have shown good performance in predicting cardiovascular disease risk. However, the usefulness of ML models has yet to be fully elucidated for sudden cardiac death (SCD) risk using long-term follow-up electronic health records (EHRs). This study aimed to develop and validate ML models for SCD risk prediction among community-dwelling older adults using 6-year primary-care EHRs data. Methods: Data were obtained from the Jinnan Study, an EHR-based cohort of older adults. A total of 30,535 individuals aged ≥ 65 years from three towns were included. The primary outcome was SCD. Candidate predictors included gender, age, heart rate, body mass index (BMI), waist, systolic blood pressure (SBP), diastolic blood pressure (DBP), physical activity, current smoking status, diabetes, hypertension, fasting blood glucose (FBG), triglyceride (TG), total cholesterol (TC), serum creatinine (Scr), blood urea nitrogen (BUN), QTc prolongation and ST wave abnormality. We employed the data of one town as the training dataset (16,049 individuals), and the data of other 2 towns as the test dataset (14,486 individuals). The two feature selection strategies used were Cox proportional hazards model (Cox model) and random survival forests model (RSF model). Cox model, Fine-gray model, RSF model, lasso Cox regression model and boosted Cox regression model were fitted, optimized through 5-fold cross-validation using the training dataset, and externally validated on the test dataset. Model discrimination and calibration were assessed. Results: With a median follow-up of 5.67 years, 224 SCD events occurred. RSF outperformed other models, with a C-index of 0.820 in the training set and 0.757 in the test dataset (P < 0.001). Calibration plots indicated that most SCD events occurred in individuals within the highest deciles of predicted risk. Summary plots using the “survex” package were generated to enhance interpretability of the RSF model. Conclusion: ML models can significantly enhance the prediction of SCD risk using community-based EHRs. Our proposed risk model may enable the identification of high-risk individuals among older adults, facilitating targeted interventions and personalized care strategies. Future research should focus on integrating this model into routine primary care workflows and evaluating its effectiveness in real-world settings. © The Author(s) 2025.","41107790","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus"
